          969	TH
23.544000       23.544000       11.772000
25.506000       25.506000       11.772000
27.468000       23.544000       11.772000
29.430000       25.506000       11.772000
31.392000       23.544000       11.772000
33.354000       25.506000       11.772000
19.620000       27.468000       11.772000
21.582000       29.430000       11.772000
23.544000       27.468000       11.772000
25.506000       29.430000       11.772000
27.468000       27.468000       11.772000
29.430000       29.430000       11.772000
31.392000       27.468000       11.772000
33.354000       29.430000       11.772000
35.316000       27.468000       11.772000
23.544000       31.392000       11.772000
25.506000       33.354000       11.772000
27.468000       31.392000       11.772000
29.430000       33.354000       11.772000
31.392000       31.392000       11.772000
27.468000       35.316000       11.772000
13.734000        5.886000       15.696000
15.696000        3.924000       15.696000
17.658000        5.886000       15.696000
 9.810000        9.810000       15.696000
11.772000        7.848000       15.696000
13.734000        9.810000       15.696000
15.696000        7.848000       15.696000
17.658000        9.810000       15.696000
19.620000        7.848000       15.696000
21.582000        9.810000       15.696000
 5.886000       13.734000       15.696000
 7.848000       11.772000       15.696000
 9.810000       13.734000       15.696000
11.772000       11.772000       15.696000
13.734000       13.734000       15.696000
15.696000       11.772000       15.696000
17.658000       13.734000       15.696000
19.620000       11.772000       15.696000
21.582000       13.734000       15.696000
23.544000       11.772000       15.696000
25.506000       13.734000       15.696000
 3.924000       15.696000       15.696000
 5.886000       17.658000       15.696000
 7.848000       15.696000       15.696000
 9.810000       17.658000       15.696000
11.772000       15.696000       15.696000
13.734000       17.658000       15.696000
15.696000       15.696000       15.696000
17.658000       17.658000       15.696000
19.620000       15.696000       15.696000
21.582000       17.658000       15.696000
23.544000       15.696000       15.696000
25.506000       17.658000       15.696000
27.468000       15.696000       15.696000
29.430000       17.658000       15.696000
 7.848000       19.620000       15.696000
 9.810000       21.582000       15.696000
11.772000       19.620000       15.696000
13.734000       21.582000       15.696000
15.696000       19.620000       15.696000
17.658000       21.582000       15.696000
19.620000       19.620000       15.696000
21.582000       21.582000       15.696000
23.544000       19.620000       15.696000
25.506000       21.582000       15.696000
27.468000       19.620000       15.696000
29.430000       21.582000       15.696000
31.392000       19.620000       15.696000
33.354000       21.582000       15.696000
11.772000       23.544000       15.696000
13.734000       25.506000       15.696000
15.696000       23.544000       15.696000
17.658000       25.506000       15.696000
19.620000       23.544000       15.696000
21.582000       25.506000       15.696000
23.544000       23.544000       15.696000
25.506000       25.506000       15.696000
27.468000       23.544000       15.696000
29.430000       25.506000       15.696000
31.392000       23.544000       15.696000
33.354000       25.506000       15.696000
35.316000       23.544000       15.696000
15.696000       27.468000       15.696000
17.658000       29.430000       15.696000
19.620000       27.468000       15.696000
21.582000       29.430000       15.696000
23.544000       27.468000       15.696000
25.506000       29.430000       15.696000
27.468000       27.468000       15.696000
29.430000       29.430000       15.696000
31.392000       27.468000       15.696000
19.620000       31.392000       15.696000
21.582000       33.354000       15.696000
23.544000       31.392000       15.696000
25.506000       33.354000       15.696000
27.468000       31.392000       15.696000
23.544000       35.316000       15.696000
17.658000        5.886000       19.620000
19.620000        3.924000       19.620000
21.582000        5.886000       19.620000
13.734000        9.810000       19.620000
15.696000        7.848000       19.620000
17.658000        9.810000       19.620000
19.620000        7.848000       19.620000
21.582000        9.810000       19.620000
23.544000        7.848000       19.620000
25.506000        9.810000       19.620000
 9.810000       13.734000       19.620000
11.772000       11.772000       19.620000
13.734000       13.734000       19.620000
15.696000       11.772000       19.620000
17.658000       13.734000       19.620000
19.620000       11.772000       19.620000
21.582000       13.734000       19.620000
23.544000       11.772000       19.620000
25.506000       13.734000       19.620000
27.468000       11.772000       19.620000
29.430000       13.734000       19.620000
 5.886000       17.658000       19.620000
 7.848000       15.696000       19.620000
 9.810000       17.658000       19.620000
11.772000       15.696000       19.620000
13.734000       17.658000       19.620000
15.696000       15.696000       19.620000
17.658000       17.658000       19.620000
19.620000       15.696000       19.620000
21.582000       17.658000       19.620000
23.544000       15.696000       19.620000
25.506000       17.658000       19.620000
27.468000       15.696000       19.620000
29.430000       17.658000       19.620000
31.392000       15.696000       19.620000
33.354000       17.658000       19.620000
 3.924000       19.620000       19.620000
 5.886000       21.582000       19.620000
 7.848000       19.620000       19.620000
 9.810000       21.582000       19.620000
11.772000       19.620000       19.620000
13.734000       21.582000       19.620000
15.696000       19.620000       19.620000
17.658000       21.582000       19.620000
19.620000       19.620000       19.620000
21.582000       21.582000       19.620000
23.544000       19.620000       19.620000
25.506000       21.582000       19.620000
27.468000       19.620000       19.620000
29.430000       21.582000       19.620000
31.392000       19.620000       19.620000
33.354000       21.582000       19.620000
35.316000       19.620000       19.620000
 7.848000       23.544000       19.620000
 9.810000       25.506000       19.620000
11.772000       23.544000       19.620000
13.734000       25.506000       19.620000
15.696000       23.544000       19.620000
17.658000       25.506000       19.620000
19.620000       23.544000       19.620000
21.582000       25.506000       19.620000
23.544000       23.544000       19.620000
25.506000       25.506000       19.620000
27.468000       23.544000       19.620000
29.430000       25.506000       19.620000
31.392000       23.544000       19.620000
11.772000       27.468000       19.620000
13.734000       29.430000       19.620000
15.696000       27.468000       19.620000
17.658000       29.430000       19.620000
19.620000       27.468000       19.620000
21.582000       29.430000       19.620000
23.544000       27.468000       19.620000
25.506000       29.430000       19.620000
27.468000       27.468000       19.620000
15.696000       31.392000       19.620000
17.658000       33.354000       19.620000
19.620000       31.392000       19.620000
21.582000       33.354000       19.620000
23.544000       31.392000       19.620000
19.620000       35.316000       19.620000
21.582000        5.886000       23.544000
23.544000        3.924000       23.544000
25.506000        5.886000       23.544000
17.658000        9.810000       23.544000
19.620000        7.848000       23.544000
21.582000        9.810000       23.544000
23.544000        7.848000       23.544000
25.506000        9.810000       23.544000
27.468000        7.848000       23.544000
29.430000        9.810000       23.544000
13.734000       13.734000       23.544000
15.696000       11.772000       23.544000
17.658000       13.734000       23.544000
19.620000       11.772000       23.544000
21.582000       13.734000       23.544000
23.544000       11.772000       23.544000
25.506000       13.734000       23.544000
27.468000       11.772000       23.544000
29.430000       13.734000       23.544000
31.392000       11.772000       23.544000
33.354000       13.734000       23.544000
 9.810000       17.658000       23.544000
11.772000       15.696000       23.544000
13.734000       17.658000       23.544000
15.696000       15.696000       23.544000
17.658000       17.658000       23.544000
19.620000       15.696000       23.544000
21.582000       17.658000       23.544000
23.544000       15.696000       23.544000
25.506000       17.658000       23.544000
27.468000       15.696000       23.544000
29.430000       17.658000       23.544000
31.392000       15.696000       23.544000
33.354000       17.658000       23.544000
35.316000       15.696000       23.544000
 5.886000       21.582000       23.544000
 7.848000       19.620000       23.544000
 9.810000       21.582000       23.544000
11.772000       19.620000       23.544000
13.734000       21.582000       23.544000
15.696000       19.620000       23.544000
17.658000       21.582000       23.544000
19.620000       19.620000       23.544000
21.582000       21.582000       23.544000
23.544000       19.620000       23.544000
25.506000       21.582000       23.544000
27.468000       19.620000       23.544000
29.430000       21.582000       23.544000
31.392000       19.620000       23.544000
 3.924000       23.544000       23.544000
 5.886000       25.506000       23.544000
 7.848000       23.544000       23.544000
 9.810000       25.506000       23.544000
11.772000       23.544000       23.544000
13.734000       25.506000       23.544000
15.696000       23.544000       23.544000
17.658000       25.506000       23.544000
19.620000       23.544000       23.544000
21.582000       25.506000       23.544000
23.544000       23.544000       23.544000
25.506000       25.506000       23.544000
27.468000       23.544000       23.544000
 7.848000       27.468000       23.544000
 9.810000       29.430000       23.544000
11.772000       27.468000       23.544000
13.734000       29.430000       23.544000
15.696000       27.468000       23.544000
17.658000       29.430000       23.544000
19.620000       27.468000       23.544000
21.582000       29.430000       23.544000
23.544000       27.468000       23.544000
11.772000       31.392000       23.544000
13.734000       33.354000       23.544000
15.696000       31.392000       23.544000
17.658000       33.354000       23.544000
19.620000       31.392000       23.544000
15.696000       35.316000       23.544000
25.506000        5.886000       27.468000
27.468000        3.924000       27.468000
29.430000        5.886000       27.468000
21.582000        9.810000       27.468000
23.544000        7.848000       27.468000
25.506000        9.810000       27.468000
27.468000        7.848000       27.468000
29.430000        9.810000       27.468000
31.392000        7.848000       27.468000
33.354000        9.810000       27.468000
17.658000       13.734000       27.468000
19.620000       11.772000       27.468000
21.582000       13.734000       27.468000
23.544000       11.772000       27.468000
25.506000       13.734000       27.468000
27.468000       11.772000       27.468000
29.430000       13.734000       27.468000
31.392000       11.772000       27.468000
33.354000       13.734000       27.468000
35.316000       11.772000       27.468000
13.734000       17.658000       27.468000
15.696000       15.696000       27.468000
17.658000       17.658000       27.468000
19.620000       15.696000       27.468000
21.582000       17.658000       27.468000
23.544000       15.696000       27.468000
25.506000       17.658000       27.468000
27.468000       15.696000       27.468000
29.430000       17.658000       27.468000
31.392000       15.696000       27.468000
 9.810000       21.582000       27.468000
11.772000       19.620000       27.468000
13.734000       21.582000       27.468000
15.696000       19.620000       27.468000
17.658000       21.582000       27.468000
19.620000       19.620000       27.468000
21.582000       21.582000       27.468000
23.544000       19.620000       27.468000
25.506000       21.582000       27.468000
27.468000       19.620000       27.468000
 5.886000       25.506000       27.468000
 7.848000       23.544000       27.468000
 9.810000       25.506000       27.468000
11.772000       23.544000       27.468000
13.734000       25.506000       27.468000
15.696000       23.544000       27.468000
17.658000       25.506000       27.468000
19.620000       23.544000       27.468000
21.582000       25.506000       27.468000
23.544000       23.544000       27.468000
 3.924000       27.468000       27.468000
 5.886000       29.430000       27.468000
 7.848000       27.468000       27.468000
 9.810000       29.430000       27.468000
11.772000       27.468000       27.468000
13.734000       29.430000       27.468000
15.696000       27.468000       27.468000
17.658000       29.430000       27.468000
19.620000       27.468000       27.468000
 7.848000       31.392000       27.468000
 9.810000       33.354000       27.468000
11.772000       31.392000       27.468000
13.734000       33.354000       27.468000
15.696000       31.392000       27.468000
11.772000       35.316000       27.468000
29.430000        5.886000       31.392000
31.392000        3.924000       31.392000
33.354000        5.886000       31.392000
25.506000        9.810000       31.392000
27.468000        7.848000       31.392000
29.430000        9.810000       31.392000
31.392000        7.848000       31.392000
33.354000        9.810000       31.392000
35.316000        7.848000       31.392000
21.582000       13.734000       31.392000
23.544000       11.772000       31.392000
25.506000       13.734000       31.392000
27.468000       11.772000       31.392000
29.430000       13.734000       31.392000
31.392000       11.772000       31.392000
17.658000       17.658000       31.392000
19.620000       15.696000       31.392000
21.582000       17.658000       31.392000
23.544000       15.696000       31.392000
25.506000       17.658000       31.392000
27.468000       15.696000       31.392000
13.734000       21.582000       31.392000
15.696000       19.620000       31.392000
17.658000       21.582000       31.392000
19.620000       19.620000       31.392000
21.582000       21.582000       31.392000
23.544000       19.620000       31.392000
 9.810000       25.506000       31.392000
11.772000       23.544000       31.392000
13.734000       25.506000       31.392000
15.696000       23.544000       31.392000
17.658000       25.506000       31.392000
19.620000       23.544000       31.392000
 5.886000       29.430000       31.392000
 7.848000       27.468000       31.392000
 9.810000       29.430000       31.392000
11.772000       27.468000       31.392000
13.734000       29.430000       31.392000
15.696000       27.468000       31.392000
 3.924000       31.392000       31.392000
 5.886000       33.354000       31.392000
 7.848000       31.392000       31.392000
 9.810000       33.354000       31.392000
11.772000       31.392000       31.392000
 7.848000       35.316000       31.392000
33.354000        5.886000       35.316000
35.316000        3.924000       35.316000
29.430000        9.810000       35.316000
31.392000        7.848000       35.316000
25.506000       13.734000       35.316000
27.468000       11.772000       35.316000
21.582000       17.658000       35.316000
23.544000       15.696000       35.316000
17.658000       21.582000       35.316000
19.620000       19.620000       35.316000
13.734000       25.506000       35.316000
15.696000       23.544000       35.316000
 9.810000       29.430000       35.316000
11.772000       27.468000       35.316000
 5.886000       33.354000       35.316000
 7.848000       31.392000       35.316000
 3.924000       35.316000       35.316000
 3.924000        5.886000        5.886000
 5.886000        3.924000        5.886000
 7.848000        5.886000        5.886000
 5.886000        7.848000        5.886000
 7.848000        9.810000        5.886000
 9.810000        7.848000        5.886000
11.772000        9.810000        5.886000
 9.810000       11.772000        5.886000
11.772000       13.734000        5.886000
13.734000       11.772000        5.886000
15.696000       13.734000        5.886000
13.734000       15.696000        5.886000
15.696000       17.658000        5.886000
17.658000       15.696000        5.886000
19.620000       17.658000        5.886000
17.658000       19.620000        5.886000
19.620000       21.582000        5.886000
21.582000       19.620000        5.886000
23.544000       21.582000        5.886000
21.582000       23.544000        5.886000
23.544000       25.506000        5.886000
25.506000       23.544000        5.886000
27.468000       25.506000        5.886000
25.506000       27.468000        5.886000
27.468000       29.430000        5.886000
29.430000       27.468000        5.886000
31.392000       29.430000        5.886000
29.430000       31.392000        5.886000
31.392000       33.354000        5.886000
33.354000       31.392000        5.886000
35.316000       33.354000        5.886000
33.354000       35.316000        5.886000
 7.848000        5.886000        9.810000
 9.810000        3.924000        9.810000
11.772000        5.886000        9.810000
 3.924000        9.810000        9.810000
 5.886000        7.848000        9.810000
 7.848000        9.810000        9.810000
 9.810000        7.848000        9.810000
11.772000        9.810000        9.810000
13.734000        7.848000        9.810000
15.696000        9.810000        9.810000
 5.886000       11.772000        9.810000
 7.848000       13.734000        9.810000
 9.810000       11.772000        9.810000
11.772000       13.734000        9.810000
13.734000       11.772000        9.810000
15.696000       13.734000        9.810000
17.658000       11.772000        9.810000
19.620000       13.734000        9.810000
 9.810000       15.696000        9.810000
11.772000       17.658000        9.810000
13.734000       15.696000        9.810000
15.696000       17.658000        9.810000
17.658000       15.696000        9.810000
19.620000       17.658000        9.810000
21.582000       15.696000        9.810000
23.544000       17.658000        9.810000
13.734000       19.620000        9.810000
15.696000       21.582000        9.810000
17.658000       19.620000        9.810000
19.620000       21.582000        9.810000
21.582000       19.620000        9.810000
23.544000       21.582000        9.810000
25.506000       19.620000        9.810000
27.468000       21.582000        9.810000
17.658000       23.544000        9.810000
19.620000       25.506000        9.810000
21.582000       23.544000        9.810000
23.544000       25.506000        9.810000
25.506000       23.544000        9.810000
27.468000       25.506000        9.810000
29.430000       23.544000        9.810000
31.392000       25.506000        9.810000
21.582000       27.468000        9.810000
23.544000       29.430000        9.810000
25.506000       27.468000        9.810000
27.468000       29.430000        9.810000
29.430000       27.468000        9.810000
31.392000       29.430000        9.810000
33.354000       27.468000        9.810000
35.316000       29.430000        9.810000
25.506000       31.392000        9.810000
27.468000       33.354000        9.810000
29.430000       31.392000        9.810000
31.392000       33.354000        9.810000
33.354000       31.392000        9.810000
29.430000       35.316000        9.810000
11.772000        5.886000       13.734000
13.734000        3.924000       13.734000
15.696000        5.886000       13.734000
 7.848000        9.810000       13.734000
 9.810000        7.848000       13.734000
11.772000        9.810000       13.734000
13.734000        7.848000       13.734000
15.696000        9.810000       13.734000
17.658000        7.848000       13.734000
19.620000        9.810000       13.734000
 3.924000       13.734000       13.734000
 5.886000       11.772000       13.734000
 7.848000       13.734000       13.734000
 9.810000       11.772000       13.734000
11.772000       13.734000       13.734000
13.734000       11.772000       13.734000
15.696000       13.734000       13.734000
17.658000       11.772000       13.734000
19.620000       13.734000       13.734000
21.582000       11.772000       13.734000
23.544000       13.734000       13.734000
 5.886000       15.696000       13.734000
 7.848000       17.658000       13.734000
 9.810000       15.696000       13.734000
11.772000       17.658000       13.734000
13.734000       15.696000       13.734000
15.696000       17.658000       13.734000
17.658000       15.696000       13.734000
19.620000       17.658000       13.734000
21.582000       15.696000       13.734000
23.544000       17.658000       13.734000
25.506000       15.696000       13.734000
27.468000       17.658000       13.734000
 9.810000       19.620000       13.734000
11.772000       21.582000       13.734000
13.734000       19.620000       13.734000
15.696000       21.582000       13.734000
17.658000       19.620000       13.734000
19.620000       21.582000       13.734000
21.582000       19.620000       13.734000
23.544000       21.582000       13.734000
25.506000       19.620000       13.734000
27.468000       21.582000       13.734000
29.430000       19.620000       13.734000
31.392000       21.582000       13.734000
13.734000       23.544000       13.734000
15.696000       25.506000       13.734000
17.658000       23.544000       13.734000
19.620000       25.506000       13.734000
21.582000       23.544000       13.734000
23.544000       25.506000       13.734000
25.506000       23.544000       13.734000
27.468000       25.506000       13.734000
29.430000       23.544000       13.734000
31.392000       25.506000       13.734000
33.354000       23.544000       13.734000
35.316000       25.506000       13.734000
17.658000       27.468000       13.734000
19.620000       29.430000       13.734000
21.582000       27.468000       13.734000
23.544000       29.430000       13.734000
25.506000       27.468000       13.734000
27.468000       29.430000       13.734000
29.430000       27.468000       13.734000
31.392000       29.430000       13.734000
33.354000       27.468000       13.734000
21.582000       31.392000       13.734000
23.544000       33.354000       13.734000
25.506000       31.392000       13.734000
27.468000       33.354000       13.734000
29.430000       31.392000       13.734000
25.506000       35.316000       13.734000
15.696000        5.886000       17.658000
17.658000        3.924000       17.658000
19.620000        5.886000       17.658000
11.772000        9.810000       17.658000
13.734000        7.848000       17.658000
15.696000        9.810000       17.658000
17.658000        7.848000       17.658000
19.620000        9.810000       17.658000
21.582000        7.848000       17.658000
23.544000        9.810000       17.658000
 7.848000       13.734000       17.658000
 9.810000       11.772000       17.658000
11.772000       13.734000       17.658000
13.734000       11.772000       17.658000
15.696000       13.734000       17.658000
17.658000       11.772000       17.658000
19.620000       13.734000       17.658000
21.582000       11.772000       17.658000
23.544000       13.734000       17.658000
25.506000       11.772000       17.658000
27.468000       13.734000       17.658000
 3.924000       17.658000       17.658000
 5.886000       15.696000       17.658000
 7.848000       17.658000       17.658000
 9.810000       15.696000       17.658000
11.772000       17.658000       17.658000
13.734000       15.696000       17.658000
15.696000       17.658000       17.658000
17.658000       15.696000       17.658000
19.620000       17.658000       17.658000
21.582000       15.696000       17.658000
23.544000       17.658000       17.658000
25.506000       15.696000       17.658000
27.468000       17.658000       17.658000
29.430000       15.696000       17.658000
31.392000       17.658000       17.658000
 5.886000       19.620000       17.658000
 7.848000       21.582000       17.658000
 9.810000       19.620000       17.658000
11.772000       21.582000       17.658000
13.734000       19.620000       17.658000
15.696000       21.582000       17.658000
17.658000       19.620000       17.658000
19.620000       21.582000       17.658000
21.582000       19.620000       17.658000
23.544000       21.582000       17.658000
25.506000       19.620000       17.658000
27.468000       21.582000       17.658000
29.430000       19.620000       17.658000
31.392000       21.582000       17.658000
33.354000       19.620000       17.658000
35.316000       21.582000       17.658000
 9.810000       23.544000       17.658000
11.772000       25.506000       17.658000
13.734000       23.544000       17.658000
15.696000       25.506000       17.658000
17.658000       23.544000       17.658000
19.620000       25.506000       17.658000
21.582000       23.544000       17.658000
23.544000       25.506000       17.658000
25.506000       23.544000       17.658000
27.468000       25.506000       17.658000
29.430000       23.544000       17.658000
31.392000       25.506000       17.658000
33.354000       23.544000       17.658000
13.734000       27.468000       17.658000
15.696000       29.430000       17.658000
17.658000       27.468000       17.658000
19.620000       29.430000       17.658000
21.582000       27.468000       17.658000
23.544000       29.430000       17.658000
25.506000       27.468000       17.658000
27.468000       29.430000       17.658000
29.430000       27.468000       17.658000
17.658000       31.392000       17.658000
19.620000       33.354000       17.658000
21.582000       31.392000       17.658000
23.544000       33.354000       17.658000
25.506000       31.392000       17.658000
21.582000       35.316000       17.658000
19.620000        5.886000       21.582000
21.582000        3.924000       21.582000
23.544000        5.886000       21.582000
15.696000        9.810000       21.582000
17.658000        7.848000       21.582000
19.620000        9.810000       21.582000
21.582000        7.848000       21.582000
23.544000        9.810000       21.582000
25.506000        7.848000       21.582000
27.468000        9.810000       21.582000
11.772000       13.734000       21.582000
13.734000       11.772000       21.582000
15.696000       13.734000       21.582000
17.658000       11.772000       21.582000
19.620000       13.734000       21.582000
21.582000       11.772000       21.582000
23.544000       13.734000       21.582000
25.506000       11.772000       21.582000
27.468000       13.734000       21.582000
29.430000       11.772000       21.582000
31.392000       13.734000       21.582000
 7.848000       17.658000       21.582000
 9.810000       15.696000       21.582000
11.772000       17.658000       21.582000
13.734000       15.696000       21.582000
15.696000       17.658000       21.582000
17.658000       15.696000       21.582000
19.620000       17.658000       21.582000
21.582000       15.696000       21.582000
23.544000       17.658000       21.582000
25.506000       15.696000       21.582000
27.468000       17.658000       21.582000
29.430000       15.696000       21.582000
31.392000       17.658000       21.582000
33.354000       15.696000       21.582000
35.316000       17.658000       21.582000
 3.924000       21.582000       21.582000
 5.886000       19.620000       21.582000
 7.848000       21.582000       21.582000
 9.810000       19.620000       21.582000
11.772000       21.582000       21.582000
13.734000       19.620000       21.582000
15.696000       21.582000       21.582000
17.658000       19.620000       21.582000
19.620000       21.582000       21.582000
21.582000       19.620000       21.582000
23.544000       21.582000       21.582000
25.506000       19.620000       21.582000
27.468000       21.582000       21.582000
29.430000       19.620000       21.582000
31.392000       21.582000       21.582000
33.354000       19.620000       21.582000
 5.886000       23.544000       21.582000
 7.848000       25.506000       21.582000
 9.810000       23.544000       21.582000
11.772000       25.506000       21.582000
13.734000       23.544000       21.582000
15.696000       25.506000       21.582000
17.658000       23.544000       21.582000
19.620000       25.506000       21.582000
21.582000       23.544000       21.582000
23.544000       25.506000       21.582000
25.506000       23.544000       21.582000
27.468000       25.506000       21.582000
29.430000       23.544000       21.582000
 9.810000       27.468000       21.582000
11.772000       29.430000       21.582000
13.734000       27.468000       21.582000
15.696000       29.430000       21.582000
17.658000       27.468000       21.582000
19.620000       29.430000       21.582000
21.582000       27.468000       21.582000
23.544000       29.430000       21.582000
25.506000       27.468000       21.582000
13.734000       31.392000       21.582000
15.696000       33.354000       21.582000
17.658000       31.392000       21.582000
19.620000       33.354000       21.582000
21.582000       31.392000       21.582000
17.658000       35.316000       21.582000
23.544000        5.886000       25.506000
25.506000        3.924000       25.506000
27.468000        5.886000       25.506000
19.620000        9.810000       25.506000
21.582000        7.848000       25.506000
23.544000        9.810000       25.506000
25.506000        7.848000       25.506000
27.468000        9.810000       25.506000
29.430000        7.848000       25.506000
31.392000        9.810000       25.506000
15.696000       13.734000       25.506000
17.658000       11.772000       25.506000
19.620000       13.734000       25.506000
21.582000       11.772000       25.506000
23.544000       13.734000       25.506000
25.506000       11.772000       25.506000
27.468000       13.734000       25.506000
29.430000       11.772000       25.506000
31.392000       13.734000       25.506000
33.354000       11.772000       25.506000
35.316000       13.734000       25.506000
11.772000       17.658000       25.506000
13.734000       15.696000       25.506000
15.696000       17.658000       25.506000
17.658000       15.696000       25.506000
19.620000       17.658000       25.506000
21.582000       15.696000       25.506000
23.544000       17.658000       25.506000
25.506000       15.696000       25.506000
27.468000       17.658000       25.506000
29.430000       15.696000       25.506000
31.392000       17.658000       25.506000
33.354000       15.696000       25.506000
 7.848000       21.582000       25.506000
 9.810000       19.620000       25.506000
11.772000       21.582000       25.506000
13.734000       19.620000       25.506000
15.696000       21.582000       25.506000
17.658000       19.620000       25.506000
19.620000       21.582000       25.506000
21.582000       19.620000       25.506000
23.544000       21.582000       25.506000
25.506000       19.620000       25.506000
27.468000       21.582000       25.506000
29.430000       19.620000       25.506000
 3.924000       25.506000       25.506000
 5.886000       23.544000       25.506000
 7.848000       25.506000       25.506000
 9.810000       23.544000       25.506000
11.772000       25.506000       25.506000
13.734000       23.544000       25.506000
15.696000       25.506000       25.506000
17.658000       23.544000       25.506000
19.620000       25.506000       25.506000
21.582000       23.544000       25.506000
23.544000       25.506000       25.506000
25.506000       23.544000       25.506000
 5.886000       27.468000       25.506000
 7.848000       29.430000       25.506000
 9.810000       27.468000       25.506000
11.772000       29.430000       25.506000
13.734000       27.468000       25.506000
15.696000       29.430000       25.506000
17.658000       27.468000       25.506000
19.620000       29.430000       25.506000
21.582000       27.468000       25.506000
 9.810000       31.392000       25.506000
11.772000       33.354000       25.506000
13.734000       31.392000       25.506000
15.696000       33.354000       25.506000
17.658000       31.392000       25.506000
13.734000       35.316000       25.506000
27.468000        5.886000       29.430000
29.430000        3.924000       29.430000
31.392000        5.886000       29.430000
23.544000        9.810000       29.430000
25.506000        7.848000       29.430000
27.468000        9.810000       29.430000
29.430000        7.848000       29.430000
31.392000        9.810000       29.430000
33.354000        7.848000       29.430000
35.316000        9.810000       29.430000
19.620000       13.734000       29.430000
21.582000       11.772000       29.430000
23.544000       13.734000       29.430000
25.506000       11.772000       29.430000
27.468000       13.734000       29.430000
29.430000       11.772000       29.430000
31.392000       13.734000       29.430000
33.354000       11.772000       29.430000
15.696000       17.658000       29.430000
17.658000       15.696000       29.430000
19.620000       17.658000       29.430000
21.582000       15.696000       29.430000
23.544000       17.658000       29.430000
25.506000       15.696000       29.430000
27.468000       17.658000       29.430000
29.430000       15.696000       29.430000
11.772000       21.582000       29.430000
13.734000       19.620000       29.430000
15.696000       21.582000       29.430000
17.658000       19.620000       29.430000
19.620000       21.582000       29.430000
21.582000       19.620000       29.430000
23.544000       21.582000       29.430000
25.506000       19.620000       29.430000
 7.848000       25.506000       29.430000
 9.810000       23.544000       29.430000
11.772000       25.506000       29.430000
13.734000       23.544000       29.430000
15.696000       25.506000       29.430000
17.658000       23.544000       29.430000
19.620000       25.506000       29.430000
21.582000       23.544000       29.430000
